Rating,Review
1,"The individual DVD holders in the box set came apart on first opening the package. The set of DVDs were in reverse order (the first episode DVD was last, the last was first). Two of the discs are unreadable by either my DVD player or my computer. The DVDs are seen as region-free by my computer software, which I find curious. Also, on disc 3, episode 5 is titled ""Flesh and Sone"" rather than the correct ""Flesh and Stone."" I put in an inquiry to the shipper (BBM) via Amazon's link and am awaiting a response."
1,"On average, there are 5 errors per chapter in this book. The examples given often use wrong units. The equations often mix current for voltage. This book has one use: it adheres to the common stereoype that electrical engineers can't write."
1,This company has a new revenue stream where they falsely accuse their customers of damaging their cars. They charge the deductable to the customers credit card and the reat to the customer's insurance. I would use another rental car company if I were you.
1,"Bought one of these a week ago at Meijer. Opened it tonight and read and followed all the instructions. It failed the very first self-test - the unit only displays ""Err"". (The instructions helpfully suggest that this means the ambient temperature is not between 60 and 98 degrees F - I'm pretty sure the temperature in my house is in that range, Mabis.) Tried replacing the battery - no better. The unit is just junk."
1,"I have a Wusthof Classic that's been sharpened so many times (a decade of daily use), it's come time to replace it. Saw this deal, saw the Classic line in the pictures and ordered.What was pictured is NOT what was received!Don't be fooled. This is not the Classic set, it's the cheap stamped out set, and because of it, this isn't a deal. A stamped knife is a stamped knife. It's cheap, light, can't hold an edge and while not really bad, is not something you want to use every day for years and years.It's a disgrace for Amazon to picture a different product in anothers product description, but it's my fault for trusting them with it and not simply reading reviews and making sure I'm getting what I think I'm getting."
1,"Thank goodness Judy Garland was not around to see this bomb. And that is exactly what it did at the box office for good reason. First and formost Ross is far too old to be playing Dorothy. An excellent cast is wasted except Michael Jackson, who somehow though this mess of a film, gives a good performance. After this turkey neither did Jackson or Ross starred in another theatre released film. The film is soooo bad that Berry Gordy forbid it to be mentioned on any of the Motown tribute shows."
1,I purchased this product to charge my iPod video on a recent flight. The adapter fit into the flight power but the iPod kept blinking that this product was inoperable with my iPod and to disconnect. What a waste. I loathe taking the chance of its not working on my next trip when I take my Powerbook along.
1,"Got almost to the end, realized it was a book a book about funds, almost through my kindle against the wall. Waste of time and money."
1,"I bought this thinking that you do not have to screw anything or stick anything onto your doors. I was wrong. Who wants to put screw holes into their doors? And, who would want to risk puting up adhesive and then tearing it off when you are finished with it? If you don't care about these things, then this is probably a great lock. But, I care about the appearance of my doors that will be seen long after I don't need these locks anymore! -My quest continues for a lever lock...!"
1,"This is possibly the worst group of songs from possibly the worst band ever created. I'd rather shove a pushpin into my cornea and pull by eyeballs out than listen to this so called rock music. If your going to listen to this music don't dare tell me that you like Zeppelin and AC/DC at the same time. There is no way in hell that you could possibly enjoy the two most polar opposites of the rock genre. This is like being friends with God, and Satin at the same time, NOT GONNA HAPPEN. My ears are bleeding as we speak for just listening to the first 7.89 seconds of the album. Take this review into advisement when your even thinking about buying material from this ""band.""REXER ROX MY SOX!!!"
1,"Cleaned lens filters for installation and found each had a hard grain of glass or sand or something embedded in the p,ane of the filter glass.... Hoya... What happened to quality checks After you moved to phillipines...."
